frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
53,1,-0.831338606987687,1.173076846856869,1.5245143318052994,43,0,0.0247560013785586,0.004153395563362583,0.04001322110583749,0.04723524279841901,0,1,1,1
54,0,-0.7760415715198783,1.1684891522228038,1.4932851391824806,52,0,0.05529703546780873,-0.004587694634065276,-0.031229192622818758,0.06367159135326088,0,1,1,1
55,0,-0.6564479445445831,1.1980321941847256,1.4749888850153456,41,0,0.11959362697529519,0.029543041961921812,-0.018296254167134984,0.12453987256304035,0,1,1,1
56,0,-0.6110076889131597,1.2899631808717724,1.3473315422810248,42,0,0.0454402556314234,0.0919309866870468,-0.12765734273432083,0.16374529092187945,0,1,1,1
57,0,-0.5800586149517767,1.2120713082171213,1.382325187330322,55,0,0.030949073961383022,-0.07789187265465114,0.03499364504929714,0.09082700148387451,0,1,1,1
58,0,-0.5165404998591092,1.2224470689116176,1.454784120137373,29,0,0.06351811509266747,0.010375760694496305,0.07245893280705107,0.09691493330984419,0,1,1,1
59,0,-0.4523161420612683,1.280387924854493,1.3953266729147136,79,0,0.06422435779784091,0.05794085594287535,-0.05945744722265944,0.10496236921951341,0,1,1,1
60,0,-0.4523161420612683,1.280387924854493,1.3953266729147136,82,1,0.0,0.0,0.0,0.0,0,1,1,1
61,0,-0.35839121430766335,1.2737451923409486,1.3547396853178526,82,0,0.09392492775360495,-0.006642732513544303,-0.04058698759686097,0.10253448937286494,0,1,1,1
62,0,-0.340192871670634,1.2767901995776834,1.3613168289282958,45,0,0.018198342637029352,0.0030450072367347314,0.006577143610443148,0.019588531386474088,0,1,1,1
63,0,-0.292267871970056,1.3063451402796447,1.3064747608266511,48,0,0.04792499970057801,0.029554940701961296,-0.0548420681016446,0.0785999526072521,0,1,1,1
64,0,-0.25681952245590783,1.2849433869981457,1.408496525619538,61,0,0.03544834951414816,-0.02140175328149896,0.10202176479288694,0.11010477291314172,0,1,1,1
65,0,-0.25681952245590783,1.2849433869981457,1.408496525619538,68,1,0.0,0.0,0.0,0.0,0,1,1,1
