trial,step_count,duration_sec,n_valid_intervals,mean_step_time,std_step_time,min_step_time_used,max_step_time_used,cadence_spm
Afi_Jalan37,6,6.169369000002916,3,0.3669326666664953,0.03066859159307495,0.33152200000040466,0.3849929999996675,58.35280723196
Afi_Jalan38,3,4.2848529999973834,2,0.38307399999757763,0.00332764450691717,0.38072100000135833,0.3854269999937969,42.00844229664586
Afi_Jalan39,7,8.343159000003652,6,0.3575560000002345,0.04559633439819527,0.32883000000583706,0.43894499999441905,50.340644353034165
Afi_Jalan3,5,6.307538000000932,4,0.3993407500001922,0.05202168869647701,0.32999500000005355,0.44032299999526003,47.56213914207979
Afi_Jalan40,6,5.823463000000629,3,0.47769200000038836,0.030944300134655805,0.44198100000357954,0.49659299999621,61.818886803257975
Afi_Jalan41,7,4.555641999999352,2,0.8488225000000966,0.19166200014462142,0.7132970000020578,0.9843479999981355,92.19337252577347
Afi_Jalan42,9,6.002236000000266,3,0.9735356666666727,0.4693512075366695,0.49365299999772105,1.4315940000014962,89.96647249457969
Afi_Jalan43,18,15.61813699999766,9,0.5323101111110494,0.3120729131012771,0.3247319999936735,1.3214050000024145,69.15037305666878
Afi_Jalan44,13,11.567504999999073,6,0.49364533333330957,0.19354771889284686,0.3273350000017672,0.7751489999936894,67.43027126420628
Afi_Jalan45,21,15.67111599999771,9,0.6366960000005848,0.3386938283101885,0.3276030000051833,1.2659830000047805,80.40269754880151
Afi_Jalan46,9,8.09872699999687,6,0.5322583333339329,0.47001590796258563,0.3274810000002617,1.4908139999970444,66.67714567983445
Afi_Jalan47,10,8.850914000002376,2,0.6327374999964377,0.43053115611449894,0.32830599999579135,0.937168999997084,67.78960907312386
Afi_Jalan48,15,11.600620999997773,5,0.5925611999991816,0.38638847539588944,0.3264130000025034,1.2694469999987632,77.58205358145679
Afi_Jalan49,10,9.142818000000261,3,0.879535666666925,0.4263084223626431,0.3879610000003595,1.1477870000016992,65.62528095823222
Afi_Jalan4,2,5.027372999997169,1,0.39192999999795575,0.0,0.39192999999795575,0.39192999999795575,23.86932499340462
Afi_Jalan50,8,8.272414999999455,4,0.7315609999986918,0.45010010387086435,0.33292400000209454,1.323324999997567,58.02416827492716
Afi_Jalan51,14,10.92143099999521,4,0.6170577499997307,0.5377113872259697,0.3247399999963818,1.4227830000018002,76.91299793958946
Afi_Jalan52,6,6.592276000003039,2,0.3259409999991476,0.0032710759709961663,0.32362799999827985,0.32825400000001537,54.60936404965963
Afi_Jalan53,6,6.689244000001054,3,0.49353833333589137,0.14231314626798838,0.38964600000326755,0.6557470000043395,53.81774083886659
Afi_Jalan54,10,7.730383999994956,4,0.4349182499991002,0.19139540804041202,0.32409000000188826,0.7205319999993662,77.61580795991395
Afi_Jalan55,13,10.044023000002198,4,0.6583140000002459,0.4452972339534046,0.32877600000210805,1.3159219999943161,77.65812563350654
Afi_Jalan56,12,8.973848000001453,2,0.9071885000012117,0.6606336022016863,0.4400500000047032,1.3743269999977201,80.23313967429395
Afi_Jalan57,18,13.01848500000051,9,0.5652177777778383,0.35531717717495076,0.30162200000631856,1.2035939999987022,82.95896181467795
